																																																																																																																		
	F		F	F	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F														F	F	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F				F	F	F		F	F	F	F	F	F	F										F	F	F		F	F	F		F	DR	F	F	F	F	F	F	F		F	F	F	F	F	
	F		F														F								F								F														F		F		F				F		F		F		F	F	F	F	F	F	F				F		F		F	F	F	F	F	F	F										F		F		F		F		F		F	F	F	F	F	F	F		F				F	
	F		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F	F	F		F	F	F		F		F	F	F		F														F		F		F	F	F		F		F	F	F		F	F	F	F	F	F	F		F	F	F		F		F	F	F	F	F	F	F										F		F	F	F		F		F		F	F	F	F	F	F	F		F		F		F	
	F		F																F				F				F		F		F		F														F		F				F		F						F	F	F	F	F	F	F		F				F		F	F	F	F	F	F	F										F								F		F	F	F	F	F	F	F		F		F		F	
	F		F	F	F												F	F	F		F	F	F		F	F	F	F	F		F		F						F	F	F	F	F	F	F	DL	F		F		F	F	F		F	F	F	F	F		F	F	F	F	F	F	F		F	F	F		F		F	F	F	F	F	F	F	DL	F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F		F		F		F	
	F				F												F				F				DB						F		F						F	F	F	F	F	F	F		F		F										F		F	F	F	F	F	F	F						F		F	F	F	F	F	F	F		F						F												F	F	F	F	F	F	F		F		F		F	
	F		F	F	F	F	F	F	F	F	F	F	F	F	F		F				F		F	F	F	F	F	F	F		F		F		F	F	F		F	F	F	F	F	F	F		F		F	F	F	F	F	F	F	F	F		F		F	F	F	F	F	F	F		F	F	F	F	F		F	F	F	F	F	F	F		F		F	F	F		F	F	F	F	F	F	F	F	F	F	F	DSR	F	F	F	F	F	F	F		F	F	F		F	
	F														F		F				F		F	F	F	F	F	F	F		F		F		F		F		F	F	F	F	F	F	F		F										F		F										F						F	F	F	F	F	F	F		F		F																		DT								F		F	
	F		F	F	F	F	F								F	F	F				F		F	F	F	F	F	F	F		F		F	F	F		F	DR	F	F	F	F	F	F	F		F	F	F		F	F	F	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	F	F	F		F		F	F	F	F	F	F	F	F	F	F	F		F	F	F		F	F	F	F	F	F	F	F	F		F		F	
	F		F				F														F		F	F	F	F	F	F	F		F								F	F	F	F	F	F	F				F		F										DB						DB						F								DT		F												F		F		F		F	F	F	F	F	F	F	F	F				F	
